"gender","year","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74"
"Female","2003-2010",0.351977144763196,0.361644083478042,0.374582148817517,0.390898912250375,0.408475990205796,0.407980420045681,0.395575008851072,0.369609253224327
"Male","2003-2010",0.361847777396739,0.354647496805108,0.352855140755637,0.355378796736416,0.36874718276766,0.373724779336425,0.365831545426756,0.345757988902159
"Female","2011-2019",0.416583695956521,0.413248533068713,0.417371186204791,0.427959498215953,0.444495074853862,0.450871292001321,0.450044346790774,0.442559464988959
"Male","2011-2019",0.398605941439724,0.407151579475059,0.410840794840513,0.406744337092837,0.405455108950795,0.39997608449884,0.388593321819578,0.371286630914146
