"","year","education","Female","Male"
"1","2003-2010","high",0.282692091415779,0.290723282902918
"2","2003-2010","low and middle",0.415084437000553,0.387272129165295
"3","2011-2020","high",0.324172408336947,0.344503533523593
"4","2011-2020","low and middle",0.483064853142342,0.42990022673406
