"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.006717628,0.019689599,0.027333797,0.062543433,0.026175585,0.041695622,0.04146398,0.326384063,0.146166319,0.029186935,0.023395877,0.136668983,0.06717628,0.023859161,0.021542738
2004,0.004818222,0.016644766,0.025624179,0.052124398,0.027595269,0.042268944,0.044021025,0.318659658,0.14695576,0.02847131,0.022339028,0.150021901,0.071178274,0.020148927,0.02956636
2005,0.003322949,0.019937695,0.025545171,0.047144341,0.029906542,0.040083074,0.042367601,0.330841121,0.149948079,0.026583593,0.025752856,0.139563863,0.074558671,0.022637591,0.022014538
2006,0.004809703,0.019657047,0.017147637,0.050397323,0.028649101,0.033667921,0.041614387,0.345880385,0.136553743,0.023421163,0.033249686,0.137808448,0.069636136,0.028858218,0.028649101
2007,0.004588071,0.01476162,0.020945542,0.04887293,0.025733094,0.033911829,0.042489527,0.332335927,0.146219828,0.028525833,0.028924796,0.133652503,0.077598245,0.028725314,0.03251546
2008,0.004390989,0.010500191,0.015845743,0.033600611,0.02386407,0.036846124,0.044100802,0.306605575,0.157311951,0.032646048,0.029591447,0.160557465,0.086292478,0.023291333,0.034364261
2009,0.005681818,0.010298295,0.017223011,0.033203125,0.018821023,0.034801136,0.034801136,0.327237216,0.146484375,0.031072443,0.030007102,0.16743608,0.082741477,0.034268466,0.025923295
2010,0.00493653,0.014104372,0.017277856,0.031558533,0.018688293,0.030500705,0.037023977,0.325987306,0.149682652,0.029795487,0.032792666,0.163610719,0.082863188,0.029442877,0.031382228
2011,0.005,0.009821429,0.018035714,0.033928571,0.021607143,0.018928571,0.028571429,0.32375,0.142857143,0.033035714,0.0375,0.162321429,0.095714286,0.027857143,0.040535714
2012,0.002631172,0.010679461,0.013465408,0.028942888,0.024918743,0.02352577,0.032657483,0.286333385,0.163132642,0.037145953,0.036991178,0.178919672,0.093019656,0.028633338,0.038848475
2013,0.002463768,0.010289855,0.014927536,0.026086957,0.014782609,0.025072464,0.026086957,0.277826087,0.162608696,0.036376812,0.047246377,0.190724638,0.103188406,0.023333333,0.03884058
2014,0.001840057,0.007643312,0.012172682,0.024345364,0.012738854,0.021231423,0.026043878,0.293701345,0.182731776,0.031422505,0.039631989,0.18995046,0.087898089,0.024911536,0.043595188
2015,0.005006088,0.009065079,0.015018265,0.020430253,0.011365174,0.012176972,0.027330537,0.28277635,0.181030984,0.03910161,0.045731295,0.196861047,0.095250981,0.02624814,0.032742525
2016,0.005787781,0.00926045,0.017491961,0.023536977,0.013118971,0.014019293,0.027266881,0.262636656,0.168745981,0.047073955,0.043086817,0.202186495,0.104694534,0.025723473,0.035369775
2017,0.002402934,0.008599975,0.01745289,0.017958771,0.013911724,0.016947009,0.027949918,0.266978627,0.158720121,0.047426331,0.047426331,0.213987606,0.102693816,0.026179335,0.031617554
2018,0.002609668,0.006337766,0.015658009,0.016776438,0.013545421,0.0140425,0.031191748,0.269541444,0.171616752,0.044240089,0.051323475,0.211134584,0.099540201,0.020255996,0.032310178
2019,0.003903391,0.005977068,0.014027812,0.014759697,0.015857526,0.014393755,0.025737985,0.269821908,0.181629666,0.040863625,0.046840693,0.217004147,0.096364967,0.022444499,0.030251281
