"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.010392365,0.023966066,0.030540827,0.069565217,0.034358431,0.053022269,0.060233298,0.396394486,0.126829268,0.028207847,0.025026511,0.090774125,0.041569459,0.004878049,0.004453871
2004,0.011444612,0.018570503,0.024184841,0.07277046,0.033038221,0.049233427,0.061325848,0.400129562,0.136255668,0.028287627,0.021809544,0.091340963,0.041243792,0.006909955,0.003670913
2005,0.013234975,0.020611846,0.02104578,0.058798004,0.027988718,0.047732697,0.057279236,0.419613799,0.131915817,0.034063788,0.019743979,0.101757431,0.036233456,0.004990236,0.004990236
2006,0.010480349,0.022052402,0.026855895,0.054366812,0.030131004,0.0430131,0.051746725,0.412227074,0.142576419,0.029694323,0.026200873,0.100655022,0.037117904,0.006768559,0.006113537
2007,0.005815206,0.026276115,0.025629981,0.052336851,0.028429894,0.040275684,0.058367435,0.383588197,0.150549214,0.034029722,0.032522076,0.104242946,0.044798622,0.007322852,0.005599828
2008,0.01024984,0.01921845,0.023702755,0.041639974,0.023489216,0.044415973,0.048900278,0.414050822,0.154815289,0.028400598,0.027546445,0.105274397,0.047405509,0.00384369,0.007046765
2009,0.011018711,0.016008316,0.021829522,0.040748441,0.027650728,0.038669439,0.04989605,0.422245322,0.142411642,0.027234927,0.027027027,0.115384615,0.049272349,0.004573805,0.006029106
2010,0.006772009,0.020726452,0.017853478,0.037143443,0.026061974,0.037964293,0.045762364,0.404268418,0.139134004,0.035501744,0.037553868,0.124563924,0.05315001,0.008413708,0.00513031
2011,0.006384677,0.017158819,0.020351157,0.034317638,0.023343974,0.032122905,0.042298484,0.420590583,0.144652833,0.032721468,0.038707103,0.119513168,0.051476457,0.008978452,0.007182761
2012,0.007597341,0.014434948,0.02374169,0.033618234,0.022981956,0.034567901,0.052231719,0.405887939,0.142640076,0.030389364,0.036277303,0.114909782,0.067236467,0.005698006,0.008167142
2013,0.005035066,0.009350836,0.023017443,0.030570041,0.021219205,0.026254271,0.046754181,0.38320446,0.171192232,0.030210394,0.043877001,0.117604747,0.077504046,0.005035066,0.008991189
2014,0.005660377,0.011663808,0.017667238,0.021440823,0.017152659,0.026243568,0.032761578,0.382504288,0.180960549,0.028301887,0.034476844,0.135849057,0.084391081,0.00651801,0.014408233
2015,0.004134965,0.011412504,0.018855442,0.025305987,0.019186239,0.033079722,0.04168045,0.370162091,0.16903738,0.037545485,0.041349653,0.136453854,0.075256368,0.00595435,0.010585511
2016,0.00689213,0.013463696,0.019394134,0.020355826,0.015867928,0.027087674,0.02981247,0.346049046,0.187049207,0.041513063,0.046321526,0.145215579,0.086872896,0.005930438,0.008494951
2017,0.004625485,0.012384363,0.017009848,0.019397195,0.013130409,0.021635333,0.033721277,0.3376604,0.161444345,0.048791406,0.049239033,0.168307968,0.095643092,0.005371531,0.011787526
2018,0.00608548,0.010755732,0.017973394,0.023775828,0.014859892,0.021936032,0.029436739,0.329606567,0.172799321,0.037786584,0.04981602,0.16260968,0.098499858,0.009623549,0.014152279
2019,0.006048387,0.010349462,0.011827957,0.018010753,0.014247312,0.019086022,0.031048387,0.319489247,0.167607527,0.040322581,0.058602151,0.165994624,0.106317204,0.012634409,0.018548387
