"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.00479463,0.00958926,0.022055298,0.031005274,0.021895477,0.034201694,0.043311491,0.392040914,0.175163817,0.035640083,0.034361515,0.124021096,0.057056097,0.006872303,0.007671408
2004,0.003068897,0.00951358,0.013349701,0.026852846,0.021789167,0.032223416,0.041276661,0.385913764,0.166180758,0.038514654,0.042657665,0.135491791,0.066748504,0.007058462,0.009360135
2005,0.004314192,0.008182089,0.013686403,0.031538233,0.018893187,0.029901815,0.04507587,0.380839036,0.165129426,0.04165427,0.041059209,0.136120202,0.067688188,0.006396906,0.009372211
2006,0.007091172,0.01186686,0.011577424,0.025325615,0.020839363,0.03154848,0.038929088,0.366570188,0.169030391,0.047901592,0.04211288,0.130969609,0.079450072,0.006367583,0.010419682
2007,0.005698006,0.014516348,0.015059015,0.021028354,0.018722019,0.025505359,0.041242708,0.361280695,0.174738841,0.045584046,0.039614706,0.142314476,0.073260073,0.011531678,0.009632343
2008,0.006040355,0.007711091,0.017092919,0.022747719,0.015293664,0.020691428,0.035728056,0.338002827,0.186222851,0.04035471,0.042668038,0.158848477,0.086621257,0.010538491,0.011566637
2009,0.005793886,0.009985207,0.011341223,0.021449704,0.01392998,0.022435897,0.027613412,0.328895464,0.176898422,0.043392505,0.048076923,0.170364892,0.097016765,0.009861933,0.012820513
2010,0.005493221,0.007480131,0.013908368,0.019167835,0.013791491,0.015895278,0.025128565,0.344670407,0.167835437,0.043361384,0.046166433,0.160238429,0.111033193,0.010051426,0.015895278
2011,0.004452855,0.009128354,0.014360459,0.020705778,0.013247245,0.017143493,0.027273739,0.334854726,0.174885896,0.047645553,0.054881443,0.159634866,0.099298675,0.010352889,0.012134031
2012,0.004445408,0.009649789,0.013661498,0.017673208,0.013010951,0.012794102,0.029383064,0.306299469,0.189959883,0.049766887,0.065054754,0.174455166,0.093353573,0.00921609,0.011384582
2013,0.004367743,0.007776712,0.01725791,0.017044849,0.008948546,0.014168531,0.026099925,0.307766059,0.187067221,0.047192926,0.0586982,0.179077448,0.098966656,0.012464046,0.012996698
2014,0.00539699,0.008925791,0.012558381,0.024182667,0.00902958,0.017644006,0.022418267,0.318526207,0.172288531,0.046600934,0.059782045,0.170108978,0.103061754,0.016917488,0.012350804
2015,0.003242148,0.009625127,0.013272543,0.014589666,0.013475177,0.014690983,0.029381966,0.311043566,0.170921986,0.049442756,0.061094225,0.177304965,0.104863222,0.014184397,0.012867275
2016,0.003251872,0.008671659,0.013894363,0.013303114,0.012613323,0.017146236,0.02424123,0.304000788,0.175699645,0.041091841,0.069865983,0.191072132,0.100906583,0.011726449,0.012514781
2017,0.002419199,0.007741436,0.015773176,0.016160248,0.01083801,0.015482872,0.028256242,0.301335398,0.173795239,0.044029417,0.072092123,0.189084575,0.097058254,0.012192762,0.013547513
2018,0.004775728,0.007304055,0.016949153,0.012922558,0.012173424,0.014795393,0.027998876,0.305272029,0.168274183,0.051409308,0.071542279,0.189999064,0.089708774,0.009645098,0.017323719
2019,0.004269934,0.006961849,0.013273926,0.014294997,0.015130419,0.015594542,0.029239766,0.301865776,0.1611436,0.045112782,0.076301866,0.195117423,0.097465887,0.009839413,0.014480646
