"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.004009623,0.010246815,0.01336541,0.015503876,0.018978883,0.022632095,0.04268021,0.328165375,0.168047759,0.04624432,0.037868663,0.19317473,0.063084737,0.021384657,0.014612849
2004,0.00392087,0.010693281,0.018802353,0.014970593,0.02236678,0.021921226,0.044466227,0.326679736,0.161112101,0.049723757,0.037337373,0.192122616,0.062555694,0.020139013,0.013099269
2005,0.002766869,0.009371653,0.018029275,0.019368083,0.016958229,0.019635844,0.039807212,0.346929668,0.154052124,0.051677972,0.037754373,0.18627276,0.06604784,0.018743306,0.012495537
2006,0.004614967,0.007058185,0.020541127,0.015021265,0.016740566,0.023708262,0.041806171,0.335444756,0.158899647,0.052664917,0.036376798,0.192199801,0.06008506,0.01999819,0.015021265
2007,0.002968736,0.011318304,0.015956953,0.013544856,0.019853419,0.025234252,0.041562297,0.321551164,0.154559792,0.049448001,0.037387513,0.203822247,0.069486965,0.017626867,0.015771407
2008,0.004060818,0.011804703,0.018793087,0.017659836,0.019359713,0.026442535,0.038341675,0.319860232,0.152988951,0.047502125,0.0381528,0.196619133,0.074605723,0.017565398,0.016243271
2009,0.002809533,0.00862236,0.016179035,0.017729122,0.0173416,0.01937609,0.04320868,0.325033908,0.14871149,0.042918039,0.045824453,0.201705096,0.07537299,0.016760318,0.018407285
2010,0.004522218,0.007963036,0.018482108,0.017302399,0.014549744,0.02251278,0.042272906,0.323043649,0.14805348,0.041584742,0.043747542,0.20812033,0.075403067,0.014942981,0.017597326
2011,0.003342509,0.007373181,0.018875344,0.014844672,0.01926858,0.018875344,0.034703107,0.310853323,0.160833661,0.04296107,0.047974833,0.204876131,0.079040503,0.016515926,0.019760126
2012,0.004485617,0.005558264,0.017064846,0.020770356,0.020672843,0.015894686,0.035982448,0.303949293,0.160019503,0.041150658,0.051584593,0.201462701,0.084349098,0.0174549,0.019697708
2013,0.003050581,0.00354261,0.020960441,0.015941744,0.019484353,0.014268845,0.035032474,0.288033852,0.170537296,0.044479433,0.054123204,0.204880929,0.084530604,0.01790986,0.023223775
2014,0.004087737,0.005383848,0.022931206,0.018245264,0.016450648,0.018444666,0.032303091,0.280458624,0.15892323,0.0444666,0.055134596,0.219940179,0.082851446,0.016051844,0.02442672
2015,0.003166173,0.008681442,0.020222653,0.017567154,0.016647942,0.016137269,0.032172403,0.292819937,0.16249617,0.041875192,0.050045961,0.2127464,0.082729037,0.021856807,0.020937596
2016,0.002592285,0.008191622,0.019493986,0.015657404,0.016798009,0.016383243,0.036395686,0.281729573,0.159373704,0.047698051,0.048216508,0.211219411,0.100269598,0.015450021,0.0205309
2017,0.002644383,0.00793315,0.018616459,0.016183626,0.016818278,0.013221917,0.035223186,0.265390311,0.152845356,0.050137508,0.053099217,0.225724561,0.101438545,0.016289401,0.024539877
2018,0.003787879,0.006628788,0.01651936,0.014309764,0.013152357,0.016098485,0.031144781,0.275883838,0.150989057,0.047558923,0.053030303,0.22979798,0.103956229,0.013573232,0.023463805
2019,0.00529705,0.007166597,0.018695472,0.013294558,0.019110926,0.016722061,0.027627752,0.284586622,0.140216037,0.042895721,0.060240964,0.221852929,0.100332364,0.016722061,0.025031159
