"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.003349198,0.014983254,0.017274811,0.035078442,0.026264763,0.034197074,0.042305658,0.317292438,0.146483342,0.032258065,0.030142782,0.167283624,0.077031553,0.025383395,0.030495329
2004,0.004737673,0.011580979,0.020354448,0.03105808,0.021933673,0.030531672,0.044042815,0.327601334,0.15002632,0.034567468,0.023863836,0.164765748,0.081944201,0.022811019,0.030180733
2005,0.004303211,0.014399206,0.023171135,0.029294935,0.022674611,0.025819265,0.039059914,0.309665674,0.150777888,0.03326713,0.032770606,0.173618007,0.087884806,0.021847071,0.031281033
2006,0.003844306,0.013775428,0.016338299,0.028832292,0.019541887,0.028031395,0.03748198,0.316834855,0.159859042,0.033157136,0.029793369,0.166586577,0.08825885,0.027550857,0.030273907
2007,0.005152296,0.01363843,0.013789968,0.035459918,0.021063798,0.023033793,0.031974542,0.283376269,0.168813457,0.03773299,0.034247613,0.18139112,0.083345962,0.03045916,0.036520685
2008,0.003076923,0.008531469,0.016083916,0.022097902,0.015524476,0.021958042,0.028251748,0.28,0.176363636,0.04041958,0.04013986,0.195524476,0.098321678,0.026013986,0.027832168
2009,0.002694328,0.012663344,0.017782568,0.02371009,0.015627105,0.018995015,0.022362926,0.271184157,0.169877408,0.03314024,0.045264718,0.20557726,0.10656069,0.031119493,0.023440657
2010,0.002608582,0.009260467,0.01904265,0.023085953,0.013042911,0.020346941,0.023346811,0.279118299,0.158993087,0.038085301,0.045650189,0.216121038,0.095734968,0.034563715,0.020999087
2011,0.003551557,0.008168581,0.014442998,0.017876169,0.013614301,0.019533562,0.030188233,0.277850124,0.181602936,0.039303895,0.05007695,0.193204688,0.093761099,0.029596306,0.027228602
2012,0.004107272,0.007006523,0.015221068,0.019569944,0.012684223,0.016187485,0.022589998,0.290166707,0.167673351,0.043851172,0.053515342,0.199565112,0.09434646,0.023798019,0.029717323
2013,0.005714981,0.00729572,0.014348249,0.015807393,0.011673152,0.015564202,0.023103113,0.285019455,0.174854086,0.044747082,0.054717899,0.201483463,0.096303502,0.021400778,0.027966926
2014,0.003055681,0.00837483,0.011996378,0.021502943,0.013580806,0.015504753,0.029990946,0.300135808,0.16364871,0.041987325,0.052965143,0.202580353,0.086917157,0.019578995,0.028066999
2015,0.001862401,0.008764242,0.015666082,0.016323401,0.012379492,0.016980719,0.030017528,0.302585451,0.177585451,0.041191937,0.054009641,0.195880806,0.080411919,0.024101665,0.022129711
2016,0.001638807,0.008958811,0.013656725,0.011362395,0.014202994,0.01496777,0.031792855,0.294220474,0.186605485,0.048508686,0.050693762,0.195236534,0.07942751,0.02272479,0.02589315
2017,0.005243609,0.008411623,0.016823247,0.011470395,0.012781298,0.016714005,0.029276819,0.303473891,0.174459253,0.047738693,0.04926808,0.18603889,0.093511033,0.021083679,0.023705484
2018,0.003298223,0.005426109,0.015320779,0.013512076,0.012448133,0.012660921,0.031386318,0.306096393,0.170550059,0.044472816,0.047558251,0.20129801,0.088307267,0.020959677,0.026598574
2019,0.001935024,0.006721662,0.017822589,0.013748854,0.011304614,0.015174661,0.033099094,0.32294531,0.151441084,0.044607394,0.054282513,0.198492718,0.083206029,0.02271107,0.02240554
