"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.002506033,0.007146835,0.016057175,0.013087061,0.017263783,0.019769816,0.031650269,0.299146092,0.180712827,0.052905142,0.052069798,0.219602747,0.065435307,0.012994245,0.009560052
2004,0.003434131,0.00600973,0.017933798,0.01240103,0.017838405,0.019555471,0.031956501,0.297243156,0.174377564,0.054278355,0.052752075,0.224267862,0.066011638,0.011924068,0.010111609
2005,0.003465871,0.00529508,0.018292096,0.012900741,0.016751709,0.015981515,0.032444402,0.286415712,0.176181766,0.056705497,0.051314143,0.21834986,0.077982093,0.015885241,0.012130548
2006,0.003348962,0.006889293,0.015500909,0.010525309,0.017318917,0.015213855,0.033489618,0.271744331,0.178356138,0.051191274,0.052435174,0.230121519,0.085350684,0.017510286,0.011003732
2007,0.002379819,0.005711566,0.014945264,0.012470252,0.01513565,0.016277963,0.034554974,0.266158972,0.162970014,0.057591623,0.048357925,0.248643503,0.08986197,0.015421228,0.009614469
2008,0.001915342,0.006224861,0.017525378,0.012066654,0.018387282,0.013981996,0.033231182,0.247270638,0.170369661,0.051139628,0.059279831,0.241907681,0.100172381,0.015610036,0.011108983
2009,0.003017032,0.006520681,0.018394161,0.011289538,0.019075426,0.019367397,0.028321168,0.248077859,0.16729927,0.051581509,0.06540146,0.232311436,0.097323601,0.019172749,0.012944039
2010,0.00500701,0.00530743,0.015621871,0.012217104,0.019727619,0.017424394,0.031544162,0.238133387,0.171940717,0.054676547,0.065792109,0.237933106,0.095934308,0.017123974,0.011516123
2011,0.003191599,0.00772161,0.014207763,0.013384124,0.015957994,0.015546175,0.033460311,0.233707402,0.178317719,0.053433543,0.064861526,0.236590137,0.101204571,0.013898898,0.014619582
2012,0.002160716,0.007099496,0.018108859,0.015433687,0.018623315,0.017697294,0.027574853,0.22749254,0.173165964,0.049387797,0.072744109,0.235929622,0.102685461,0.015125013,0.016668382
2013,0.003893842,0.004713598,0.015165488,0.012091403,0.019776616,0.017317348,0.028896403,0.223486013,0.165488267,0.048980428,0.072548417,0.242647812,0.11210165,0.016292653,0.016600061
2014,0.00497563,0.007311129,0.016653128,0.012489846,0.01320065,0.018074736,0.026198213,0.22065394,0.16257108,0.050568643,0.075548335,0.242282697,0.113017872,0.018074736,0.018277823
2015,0.003371009,0.005453103,0.019631172,0.01338489,0.018738846,0.011401943,0.031033115,0.231509022,0.1617093,0.042435058,0.071187785,0.236565536,0.115308348,0.016161015,0.022109855
2016,0.002032717,0.005323783,0.013551447,0.011421934,0.018197658,0.012486691,0.029813184,0.217694318,0.162326977,0.046462104,0.065143742,0.257283903,0.127383603,0.014616204,0.016358533
2017,0.003145254,0.003335875,0.011627907,0.011246664,0.018966832,0.0133435,0.028307282,0.210922608,0.156786123,0.042603889,0.070053374,0.252573389,0.143252002,0.015440335,0.018299657
2018,0.002242781,0.00476591,0.014017382,0.011307354,0.017194655,0.011213905,0.028128212,0.205588263,0.158863658,0.048219793,0.068872068,0.259601906,0.130828894,0.015979815,0.023175404
2019,0.002681709,0.003976327,0.01155909,0.010634363,0.015997781,0.013408544,0.024782689,0.206399112,0.136119845,0.046883669,0.069262068,0.272702053,0.145552062,0.01461069,0.025429998
