"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.002966791,0.007943344,0.013876926,0.016460905,0.014355441,0.022681596,0.037706958,0.318212269,0.175710594,0.047277251,0.034070246,0.193511341,0.072925639,0.022394488,0.019810508
2004,0.005517628,0.010100065,0.014682503,0.014214907,0.016085289,0.020761246,0.031983541,0.32694286,0.165996446,0.051529038,0.036004863,0.19339755,0.070606939,0.024221453,0.017862153
2005,0.004206676,0.009602195,0.015820759,0.013260174,0.017283951,0.022222222,0.037037037,0.341746685,0.171193416,0.0521262,0.031092821,0.175125743,0.068129858,0.023319616,0.017924097
2006,0.004343498,0.007420143,0.015202244,0.015111755,0.017645462,0.021355533,0.037824631,0.335354267,0.161433354,0.049859741,0.039272464,0.189123156,0.066328839,0.02207945,0.017645462
2007,0.003693694,0.007657658,0.015405405,0.016306306,0.017927928,0.022702703,0.046846847,0.338198198,0.158558559,0.045225225,0.039189189,0.184234234,0.068198198,0.02036036,0.015585586
2008,0.004388715,0.007433945,0.017913121,0.016032244,0.015226153,0.02060009,0.043170622,0.339991043,0.161486789,0.046036722,0.03833408,0.182176444,0.070667264,0.01916704,0.017554859
2009,0.003046049,0.007346354,0.0138864,0.019888909,0.018455474,0.019888909,0.041121663,0.339903243,0.162246909,0.045959505,0.042555098,0.180971152,0.068715284,0.018276295,0.017828346
2010,0.001983411,0.008564731,0.014424811,0.015867292,0.018031013,0.021637216,0.039487919,0.346375766,0.154345474,0.045979084,0.042463036,0.184367111,0.071763433,0.017850703,0.016678687
2011,0.00287037,0.007222222,0.016759259,0.015092593,0.018148148,0.018796296,0.040092593,0.336666667,0.152685185,0.048611111,0.042407407,0.195185185,0.071018519,0.021388889,0.01287037
2012,0.004440665,0.009070295,0.020408163,0.015400605,0.017195767,0.018235072,0.037037037,0.320578231,0.156934996,0.052059713,0.045068027,0.196995465,0.071523054,0.019746788,0.015400605
2013,0.00348871,0.006202151,0.016668282,0.01540847,0.019769357,0.018800271,0.03847272,0.309719934,0.147979455,0.050586297,0.048745033,0.210970055,0.079174339,0.01608683,0.017637368
2014,0.002464268,0.010054214,0.017151306,0.015475604,0.01902415,0.017939872,0.040512568,0.309709216,0.143716116,0.046623953,0.045145392,0.212419911,0.083489404,0.01774273,0.018629867
2015,0.004456328,0.005446623,0.017627253,0.015349574,0.018320459,0.017627253,0.035848683,0.315408992,0.147058824,0.046048723,0.039611804,0.205684294,0.096751832,0.018815607,0.015844722
2016,0.004048583,0.007109707,0.016885553,0.014219413,0.019946677,0.018169251,0.03781969,0.293374148,0.156314802,0.044336921,0.044435667,0.204404068,0.098252197,0.018465488,0.022316579
2017,0.001976675,0.005435857,0.016011069,0.01314489,0.017197075,0.016011069,0.034394149,0.307076497,0.154477169,0.040423008,0.049713382,0.212986756,0.09537458,0.014034394,0.021842261
2018,0.003161118,0.006025882,0.011755408,0.015015312,0.013829892,0.014225032,0.035266225,0.298824459,0.15282031,0.04474958,0.052158451,0.209621654,0.101353354,0.018670355,0.022621752
2019,0.003602522,0.005403783,0.017812469,0.014209947,0.018813169,0.012608826,0.034824377,0.294205944,0.147303112,0.045631942,0.06054238,0.207145002,0.098568998,0.014109877,0.025317722
