"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.008982621,0.019527436,0.027143136,0.047061121,0.02909588,0.047256395,0.056824839,0.421597344,0.138254247,0.032024995,0.020503808,0.100175747,0.037687952,0.007810974,0.00624878
2004,0.007235339,0.020182788,0.030274181,0.041317593,0.026085301,0.045887281,0.052170602,0.410319878,0.156321401,0.032749429,0.02189642,0.09634425,0.044554455,0.007044935,0.007616146
2005,0.009783631,0.017309501,0.02784572,0.04233302,0.025023518,0.039134525,0.04929445,0.410159925,0.143555974,0.035559737,0.032737535,0.107619944,0.047224835,0.00752587,0.004703669
2006,0.006239677,0.019086071,0.023490549,0.040557901,0.024958708,0.032115985,0.047348137,0.385024775,0.16700312,0.038539182,0.031381905,0.120756102,0.049550376,0.007524316,0.006423197
2007,0.006588319,0.01460114,0.022792023,0.039707977,0.020477208,0.030092593,0.045940171,0.396901709,0.164351852,0.038995726,0.031873219,0.113960114,0.061609687,0.004095442,0.008190883
2008,0.006241565,0.011470985,0.020917679,0.033063428,0.020411606,0.034581646,0.04571525,0.387483131,0.172064777,0.035087719,0.030364372,0.122638327,0.065789474,0.005566802,0.008603239
2009,0.008073632,0.013079283,0.017923462,0.029388019,0.021314387,0.034878088,0.043113192,0.377200065,0.174390441,0.031648636,0.038914904,0.12401098,0.068948813,0.00920394,0.007912159
2010,0.007402741,0.011970389,0.018113089,0.034966136,0.020790676,0.029453457,0.036698693,0.362734289,0.169002993,0.035596157,0.03969129,0.131044259,0.07969759,0.01354544,0.009135297
2011,0.007925621,0.008535284,0.018442311,0.027130011,0.019661637,0.027282426,0.034141137,0.356805365,0.168114617,0.033074226,0.042524005,0.137021795,0.098155769,0.007468374,0.01341259
2012,0.003361815,0.008964841,0.018489985,0.025493767,0.021011346,0.023112481,0.038100574,0.36601765,0.159266004,0.037960499,0.047065415,0.145538591,0.084605687,0.009525144,0.011486203
2013,0.00543983,0.012073769,0.015921454,0.021891999,0.019238424,0.021228606,0.036884702,0.35810004,0.173278493,0.040334351,0.045243466,0.142762372,0.086506568,0.009154836,0.011941091
2014,0.004830918,0.012204424,0.014238495,0.027968472,0.01309433,0.024790236,0.033943555,0.327739639,0.182812103,0.043351131,0.049961861,0.145054666,0.095347063,0.010806001,0.013729977
2015,0.006597097,0.012474511,0.01643277,0.01859182,0.013074247,0.022670025,0.029866859,0.333093439,0.168525849,0.04450042,0.054336092,0.16156891,0.092599256,0.010075567,0.015473192
2016,0.004804393,0.008007321,0.017501716,0.016815374,0.012811714,0.017387326,0.027796843,0.324639671,0.170555937,0.045527339,0.054564173,0.172043011,0.105010295,0.009380005,0.013498055
2017,0.0041841,0.00893362,0.017754156,0.016510234,0.01458781,0.015718648,0.030419541,0.307474839,0.175279882,0.045798937,0.056541898,0.181273324,0.101209997,0.011873798,0.01221305
2018,0.004575382,0.00903917,0.014953688,0.015846446,0.014507309,0.018189934,0.02667113,0.30420712,0.160584756,0.048543689,0.064390135,0.177881933,0.114384555,0.010824685,0.015400067
2019,0.003930989,0.007861979,0.013976851,0.015614763,0.013212492,0.017471064,0.024896266,0.29646211,0.169687705,0.048263813,0.068246342,0.187377157,0.107556235,0.008626338,0.017034287
