"Year","None","1st-4th_grade","5th-6th_grade","7th-8th_grade","9th_grade","10th_grade","11th_grade","High.school.graduate","Some.college.no.degree","Associate.degree..occupational","Associate.degree..academic","Bachelor.s.degree","Master.s.degree","Professional.degree","Doctorate.degree"
2003,0.005678716,0.009500928,0.017472971,0.018237414,0.010920607,0.018455826,0.035601179,0.274325653,0.192857923,0.041389101,0.038986568,0.199191875,0.086818827,0.027192312,0.023479305
2004,0.004260305,0.007668548,0.015017574,0.017041218,0.015124081,0.017573757,0.026946427,0.289913729,0.187666418,0.046117797,0.042922569,0.196293535,0.089892427,0.022260092,0.021408031
2005,0.002598753,0.00977131,0.017879418,0.019230769,0.012993763,0.016839917,0.025883576,0.311122661,0.169126819,0.044802495,0.041164241,0.198336798,0.087733888,0.022972973,0.019438669
2006,0.00493852,0.009574683,0.017939931,0.014009272,0.015722637,0.024289458,0.034771215,0.305583552,0.169018343,0.051199355,0.040717597,0.189477928,0.07790768,0.025599677,0.019250151
2007,0.004512016,0.006375674,0.014909269,0.018832761,0.014418833,0.019127023,0.032270721,0.324178519,0.16949485,0.04610103,0.040313879,0.186267778,0.074938695,0.027856793,0.020500245
2008,0.006265664,0.006169269,0.015615963,0.016579911,0.014459225,0.01715828,0.037883169,0.331405437,0.168787353,0.04906497,0.043184885,0.186138423,0.06660883,0.025641026,0.014941199
2009,0.005089059,0.00876449,0.01602111,0.012816888,0.013476581,0.019790783,0.03769673,0.333521817,0.171614362,0.045236076,0.045424559,0.180755819,0.072660447,0.022052587,0.014890208
2010,0.002244669,0.007575758,0.013374486,0.013093902,0.014403292,0.02066966,0.035634119,0.347268986,0.170594837,0.041339319,0.047231575,0.1775159,0.069023569,0.019453797,0.020576132
2011,0.004488079,0.007480131,0.013838242,0.012248714,0.012716223,0.021224871,0.037961664,0.337073399,0.1599813,0.045628799,0.048340346,0.187657784,0.074053296,0.018980832,0.018326321
2012,0.003392628,0.008160646,0.017788373,0.016046213,0.011920044,0.018888685,0.041445076,0.336603704,0.153401797,0.039794608,0.052631579,0.188520081,0.072345498,0.020722538,0.018430222
2013,0.004027091,0.008328757,0.014003295,0.019860882,0.015101593,0.02077613,0.036518396,0.329306242,0.156873513,0.043382757,0.050155592,0.185337727,0.077796083,0.018030386,0.020593081
2014,0.005376842,0.009177714,0.014276444,0.017984611,0.016315936,0.019838695,0.035134885,0.321683508,0.152591082,0.048576991,0.053861129,0.192361175,0.076202837,0.015203486,0.02150737
2015,0.003319196,0.009035589,0.015766181,0.014751982,0.01641158,0.020191776,0.040936751,0.327309607,0.149363821,0.045270146,0.05015674,0.194910566,0.076433708,0.01641158,0.019822976
2016,0.003920836,0.007561613,0.016896938,0.012696042,0.01521658,0.020817774,0.038088125,0.321882001,0.151979089,0.048917102,0.052184466,0.193988051,0.08075056,0.01811053,0.017083645
2017,0.004210929,0.008517561,0.015790985,0.014451144,0.015599579,0.019714805,0.034740167,0.332759116,0.148339554,0.043544837,0.052253804,0.191023064,0.08402718,0.01368552,0.021437458
2018,0.001957522,0.004795928,0.016247431,0.015072918,0.014779289,0.018792209,0.036703533,0.318684545,0.150239796,0.043163355,0.049623177,0.20319076,0.086913967,0.014681413,0.024860527
2019,0.002719033,0.004229607,0.01570997,0.01550856,0.016012085,0.014199396,0.037462236,0.307854985,0.152467271,0.042799597,0.052265861,0.208660624,0.090735146,0.015609265,0.023867069
